Category,Freq,Term,Total,loglift,logprob,topic_area
Default,8314.0,oil,8314.0,30.0,30.0,business
Default,6856.0,china,6856.0,29.0,29.0,business
Default,3240.0,nbsp,3240.0,28.0,28.0,business
Default,3391.0,rsquo,3391.0,27.0,27.0,business
Default,2191.0,trump,2191.0,26.0,26.0,business
Default,5120.0,cases,5120.0,25.0,25.0,business
Default,2086.0,russia,2086.0,24.0,24.0,business
Default,5371.0,billion,5371.0,23.0,23.0,business
Default,3476.0,bank,3476.0,22.0,22.0,business
Default,3708.0,prices,3708.0,21.0,21.0,business
Default,1971.0,chinese,1971.0,20.0,20.0,business
Default,1959.0,crude,1959.0,19.0,19.0,business
Default,4330.0,demand,4330.0,18.0,18.0,business
Default,3484.0,company,3484.0,17.0,17.0,business
Default,1771.0,european,1771.0,16.0,16.0,business
Default,5211.0,health,5211.0,15.0,15.0,business
Default,5015.0,market,5015.0,14.0,14.0,business
Default,1580.0,opec,1580.0,13.0,13.0,business
Default,1161.0,india,1161.0,12.0,12.0,business
Default,1793.0,saudi,1793.0,11.0,11.0,business
Default,2056.0,energy,2056.0,10.0,10.0,business
Default,1399.0,ldquo,1399.0,9.0,9.0,business
Default,2864.0,production,2864.0,8.0,8.0,business
Default,1380.0,rdquo,1380.0,7.0,7.0,business
Default,3540.0,economy,3540.0,6.0,6.0,business
Default,1495.0,gas,1495.0,5.0,5.0,business
Default,1249.0,bpd,1249.0,4.0,4.0,business
Default,1090.0,airlines,1090.0,3.0,3.0,business
Default,2066.0,york,2066.0,2.0,2.0,business
Default,6039.0,government,6039.0,1.0,1.0,business
Topic1,151.6953684708876,msci,152.63787878534495,2.506,-6.6957,business
Topic1,120.76767085267932,composite,121.71018116859669,2.5045,-6.9237,business
Topic1,114.78166486305716,ounce,115.72417517826962,2.5041,-6.9745,business
Topic1,113.7839971974047,stoxx,114.72650751321194,2.504,-6.9832,business
Topic1,100.81431755248613,greenback,101.75682786748692,2.5029,-7.1043,business
Topic1,88.84230557187533,nifty,89.78481588682057,2.5017,-7.2307,business
Topic1,70.88428760062193,vix,71.82679791582277,2.499,-7.4565,business
Topic1,67.89128460653757,medha,68.83379492065833,2.4985,-7.4996,business
Topic1,51.928601964201455,broadest,52.87111227974645,2.4943,-7.7677,business
Topic1,50.93093430040749,sagarika,51.873444614706514,2.4939,-7.7871,business
Topic1,45.942595971975784,dji,46.88510628937992,2.4919,-7.8902,business
Topic1,42.94959297989432,jaisinghani,43.89210329425922,2.4905,-7.9575,business
Topic1,39.956589985100834,minis,40.89910029909317,2.4889,-8.0298,business
Topic1,300.0131047550466,dow,307.2526761995562,2.4884,-6.0137,business
Topic1,35.96591932268167,nse,36.90842963884167,2.4864,-8.135,business
